X,Y,observ,longitud,latitud,objectid,num_est,nom_est,id_trazado,long_est,ancho_est,area_est,esta_oper,eta_oper,tipo_esta,ub_est,num_acc,acc_esp,acc_depr,acc_puent,cod_nodo,cap_biart,num_vag,cap_art,globalid,created_user,created_date,last_edited_user,last_edited_date
997321.4367,1006044.917,Valores de capacidad de buses en proceso de actualización,-74.10164882,4.65086482,655,06102,Salitre - El Greco,TZ016,96.48,3,289.44,1,1,4,KR 66,1,0,0,1,6102,120,2,140,{FE69B635-951A-48F7-88CA-0ADB6D8B219F},,,,
997650.0646,1002667.7948,Valores de capacidad de buses en proceso de actualización,-74.09868611,4.62032526,656,12007,Zona Industrial,TZ009,96.29,4,385.16,1,1,4,CL 13 - KR 38,2,2,0,0,12007,48,2,120,{358F0BE7-66C2-4538-91BA-4D29438DE5B6},,,,
987169.4532,999555.658299999,Valores de capacidad de buses en proceso de actualización,-74.19313531,4.59217281,657,07505,León XIII,TZ011,89.5,4,358,1,1,4,Soacha,1,0,0,1,7505,72,2,152,{0A840F23-9FB9-45DF-AC3D-7219183BA657},,,,
998663.42,1002291.4202,Valores de capacidad de buses en proceso de actualización,-74.08955344,4.61692188,658,07110,Paloquemao,TZ008,122.85,4,491.4,1,1,4,KR 30 - CL 19,1,0,0,1,7110,120,2,152,{F0096745-676E-4006-8A1B-CF3393046C7F},,,,
996997.5156,1011994.4042,Valores de capacidad de buses en proceso de actualización,-74.10457027,4.70466646,659,04002,Carrera 90,TZ005,142.15,4,568.6,1,1,4,KR 90,1,0,0,1,4002,144,2,160,{0DA9D43E-A47D-4E85-8AE6-CA90C0726D4B},,,,
997888.518,1005156.3994,Valores de capacidad de buses en proceso de actualización,-74.09653771,4.64283002,660,06104,Gobernación,TZ016,96.49,3,289.47,1,1,4,KR 54,1,0,0,1,6104,120,2,140,{6F82F433-1F3F-4BB9-A96F-D675112E624C},,,,
986460.6276,999200.7971,Valores de capacidad de buses en proceso de actualización,-74.19952261,4.5889627,661,07504,Terreros - Hospital Cardio Vascular,TZ011,89.5,4,358,1,1,4,Soacha,1,0,0,1,7504,144,3,212,{E58824EF-9651-4984-9A90-C2C62F022047},,,,
1000854.9664,1008772.9456,Valores de capacidad de buses en proceso de actualización,-74.06980215,4.67553501,662,04107,Escuela Militar,TZ005,122,4,488,1,1,4,KR 40,1,0,0,1,4107,120,2,152,{273730CC-1C03-4961-A802-EE2120381DE1},,,,
992921.9267,1003833.4299,Valores de capacidad de buses en proceso de actualización,-74.14129817,4.63086366,663,05101,Mandalay,TZ009,115.705,3,347.115,1,1,4,AV Americas KR 73,1,0,0,1,5101,96,2,144,{E2DFD4D8-9985-4B08-92FE-4C3B90E42CA0},,,,
997472.4294,1011752.9198,Valores de capacidad de buses en proceso de actualización,-74.10028965,4.70248285,664,04003,AV. Cali,TZ005,142.15,4,568.6,1,1,2,KR 86,1,0,0,1,4003,144,2,160,{1D862D01-74E7-4047-BBD2-2774373E446D},,,,
